# Copyright (C) 2020  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and any partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details, at
# https://fpgasoftware.intel.com/eula.

# Quartus Prime Version 20.1.1 Build 720 11/11/2020 SJ Lite Edition
# File: /home/estudiante/Descargas/Lab1/Lab1.csv
# Generated on: Thu Mar  2 09:05:37 2023

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Strict Preservation
button,Input,PIN_B8,7,B7_N0,PIN_B8,2.5 V,,,,,
clk,Input,PIN_P11,3,B3_N0,PIN_P11,2.5 V,,,,,
display[34],Output,PIN_F18,6,B6_N0,PIN_F18,2.5 V,,,,,
display[33],Output,PIN_E20,6,B6_N0,PIN_E20,2.5 V,,,,,
display[32],Output,PIN_E19,6,B6_N0,PIN_E19,2.5 V,,,,,
display[31],Output,PIN_J18,6,B6_N0,PIN_J18,2.5 V,,,,,
display[30],Output,PIN_H19,6,B6_N0,PIN_H19,2.5 V,,,,,
display[29],Output,PIN_F19,6,B6_N0,PIN_F19,2.5 V,,,,,
display[28],Output,PIN_F20,6,B6_N0,PIN_F20,2.5 V,,,,,
display[27],Output,PIN_F21,6,B6_N0,PIN_F21,2.5 V,,,,,
display[26],Output,PIN_E22,6,B6_N0,PIN_E22,2.5 V,,,,,
display[25],Output,PIN_E21,6,B6_N0,PIN_E21,2.5 V,,,,,
display[24],Output,PIN_C19,7,B7_N0,PIN_C19,2.5 V,,,,,
display[23],Output,PIN_C20,6,B6_N0,PIN_C20,2.5 V,,,,,
display[22],Output,PIN_D19,6,B6_N0,PIN_D19,2.5 V,,,,,
display[21],Output,PIN_E17,6,B6_N0,PIN_E17,2.5 V,,,,,
display[20],Output,PIN_B20,6,B6_N0,PIN_B20,2.5 V,,,,,
display[19],Output,PIN_A20,7,B7_N0,PIN_A20,2.5 V,,,,,
display[18],Output,PIN_B19,7,B7_N0,PIN_B19,2.5 V,,,,,
display[17],Output,PIN_A21,6,B6_N0,PIN_A21,2.5 V,,,,,
display[16],Output,PIN_B21,6,B6_N0,PIN_B21,2.5 V,,,,,
display[15],Output,PIN_C22,6,B6_N0,PIN_C22,2.5 V,,,,,
display[14],Output,PIN_B22,6,B6_N0,PIN_B22,2.5 V,,,,,
display[13],Output,PIN_C18,7,B7_N0,PIN_C18,2.5 V,,,,,
display[12],Output,PIN_D18,6,B6_N0,PIN_D18,2.5 V,,,,,
display[11],Output,PIN_E18,6,B6_N0,PIN_E18,2.5 V,,,,,
display[10],Output,PIN_B16,7,B7_N0,PIN_B16,2.5 V,,,,,
display[9],Output,PIN_A17,7,B7_N0,PIN_A17,2.5 V,,,,,
display[8],Output,PIN_A18,7,B7_N0,PIN_A18,2.5 V,,,,,
display[7],Output,PIN_B17,7,B7_N0,PIN_B17,2.5 V,,,,,
display[6],Output,PIN_C14,7,B7_N0,PIN_C14,2.5 V,,,,,
display[5],Output,PIN_E15,7,B7_N0,PIN_E15,2.5 V,,,,,
display[4],Output,PIN_C15,7,B7_N0,PIN_C15,2.5 V,,,,,
display[3],Output,PIN_C16,7,B7_N0,PIN_C16,2.5 V,,,,,
display[2],Output,PIN_E16,7,B7_N0,PIN_E16,2.5 V,,,,,
display[1],Output,PIN_D17,7,B7_N0,PIN_D17,2.5 V,,,,,
display[0],Output,PIN_C17,7,B7_N0,PIN_C17,2.5 V,,,,,
reset,Input,PIN_A7,7,B7_N0,PIN_A7,2.5 V,,,,,
switch[7],Input,PIN_A14,7,B7_N0,PIN_A14,2.5 V,,,,,
switch[6],Input,PIN_A13,7,B7_N0,PIN_A13,2.5 V,,,,,
switch[5],Input,PIN_B12,7,B7_N0,PIN_B12,2.5 V,,,,,
switch[4],Input,PIN_A12,7,B7_N0,PIN_A12,2.5 V,,,,,
switch[3],Input,PIN_C12,7,B7_N0,PIN_C12,2.5 V,,,,,
switch[2],Input,PIN_D12,7,B7_N0,PIN_D12,2.5 V,,,,,
switch[1],Input,PIN_C11,7,B7_N0,PIN_C11,2.5 V,,,,,
switch[0],Input,PIN_C10,7,B7_N0,PIN_C10,2.5 V,,,,,
