# Copyright (C) 2022  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and any partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details, at
# https://fpgasoftware.intel.com/eula.

# Quartus Prime Version 22.1std.0 Build 915 10/25/2022 SC Lite Edition
# File: D:\Documents\Repositories\Digi2\Lab4\Lab4PIN.csv
# Generated on: Thu May  4 11:06:36 2023

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Strict Preservation
DataAdr[31],Output,,,,PIN_AB21,,,,,,
DataAdr[30],Output,,,,PIN_Y6,,,,,,
DataAdr[29],Output,,,,PIN_Y13,,,,,,
DataAdr[28],Output,,,,PIN_AA17,,,,,,
DataAdr[27],Output,,,,PIN_P12,,,,,,
DataAdr[26],Output,,,,PIN_V17,,,,,,
DataAdr[25],Output,,,,PIN_M1,,,,,,
DataAdr[24],Output,,,,PIN_Y18,,,,,,
DataAdr[23],Output,,,,PIN_V8,,,,,,
DataAdr[22],Output,,,,PIN_AB4,,,,,,
DataAdr[21],Output,,,,PIN_R10,,,,,,
DataAdr[20],Output,,,,PIN_C8,,,,,,
DataAdr[19],Output,,,,PIN_P9,,,,,,
DataAdr[18],Output,,,,PIN_V7,,,,,,
DataAdr[17],Output,,,,PIN_B1,,,,,,
DataAdr[16],Output,,,,PIN_AA12,,,,,,
DataAdr[15],Output,,,,PIN_B3,,,,,,
DataAdr[14],Output,,,,PIN_U6,,,,,,
DataAdr[13],Output,,,,PIN_AA5,,,,,,
DataAdr[12],Output,,,,PIN_AA3,,,,,,
DataAdr[11],Output,,,,PIN_R9,,,,,,
DataAdr[10],Output,,,,PIN_AB3,,,,,,
DataAdr[9],Output,,,,PIN_W7,,,,,,
DataAdr[8],Output,,,,PIN_D9,,,,,,
DataAdr[7],Output,,,,PIN_V16,,,,,,
DataAdr[6],Output,,,,PIN_AB19,,,,,,
DataAdr[5],Output,,,,PIN_Y17,,,,,,
DataAdr[4],Output,,,,PIN_Y7,,,,,,
DataAdr[3],Output,,,,PIN_AB20,,,,,,
DataAdr[2],Output,,,,PIN_Y19,,,,,,
DataAdr[1],Output,,,,PIN_AA8,,,,,,
DataAdr[0],Output,,,,PIN_V10,,,,,,
MemWrite,Output,,,,PIN_D5,,,,,,
WriteData[31],Output,,,,PIN_Y16,,,,,,
WriteData[30],Output,,,,PIN_V14,,,,,,
WriteData[29],Output,,,,PIN_F7,,,,,,
WriteData[28],Output,,,,PIN_AA15,,,,,,
WriteData[27],Output,,,,PIN_AB15,,,,,,
WriteData[26],Output,,,,PIN_W14,,,,,,
WriteData[25],Output,,,,PIN_AB14,,,,,,
WriteData[24],Output,,,,PIN_R11,,,,,,
WriteData[23],Output,,,,PIN_AB2,,,,,,
WriteData[22],Output,,,,PIN_W9,,,,,,
WriteData[21],Output,,,,PIN_AA13,,,,,,
WriteData[20],Output,,,,PIN_W15,,,,,,
WriteData[19],Output,,,,PIN_P13,,,,,,
WriteData[18],Output,,,,PIN_W16,,,,,,
WriteData[17],Output,,,,PIN_V15,,,,,,
WriteData[16],Output,,,,PIN_Y8,,,,,,
WriteData[15],Output,,,,PIN_W8,,,,,,
WriteData[14],Output,,,,PIN_AA7,,,,,,
WriteData[13],Output,,,,PIN_U15,,,,,,
WriteData[12],Output,,,,PIN_R13,,,,,,
WriteData[11],Output,,,,PIN_V9,,,,,,
WriteData[10],Output,,,,PIN_AA14,,,,,,
WriteData[9],Output,,,,PIN_V13,,,,,,
WriteData[8],Output,,,,PIN_P11,,,,,,
WriteData[7],Output,,,,PIN_W12,,,,,,
WriteData[6],Output,,,,PIN_AA6,,,,,,
WriteData[5],Output,,,,PIN_Y3,,,,,,
WriteData[4],Output,,,,PIN_AA19,,,,,,
WriteData[3],Output,,,,PIN_AB8,,,,,,
WriteData[2],Output,,,,PIN_AA20,,,,,,
WriteData[1],Output,,,,PIN_AA16,,,,,,
WriteData[0],Output,,,,PIN_Y4,,,,,,
button,Input,PIN_A7,7,B7_N0,PIN_AB5,,,,,,
clk,Input,PIN_P11,3,B3_N0,PIN_M8,,,,,,
displays[13],Output,PIN_C18,7,B7_N0,PIN_W11,,,,,,
displays[12],Output,PIN_D18,6,B6_N0,PIN_Y11,,,,,,
displays[11],Output,PIN_E18,6,B6_N0,PIN_AA10,,,,,,
displays[10],Output,PIN_B16,7,B7_N0,PIN_AB9,,,,,,
displays[9],Output,PIN_A17,7,B7_N0,PIN_Y10,,,,,,
